somite_id;mean_period;sd_period;mean_length;sd_length;n_embryos
01;NA;NA;117.57;15.97;11
02;60.55;23.19;127.39;8.84;11
03;78.27;19.51;146.65;18.59;11
04;72.55;20.43;154.5;17.72;11
05;76.91;12.61;147.78;19.29;11
06;87.27;13.78;139.57;18.79;11
07;80.67;23.5;138.01;22.07;9
08;91.5;14.79;145.74;22.07;6
09;85.2;11.92;140.22;27.72;5
14;NA;NA;115.92;16.83;4
15;88.5;13.53;130.36;12.63;4
16;81.75;13.94;142.53;11.68;4
17;89.25;7.89;171.14;23.8;4
18;96;14.7;191.14;32.72;4
19;85.5;14.39;177.61;58.62;4
20;81;6;156.22;21.09;3
