embryo_id;mean_period;sd_period;mean_length;sd_length;n_somites
EmbryoA;73.88;25.7;141.54;18.6;9
EmbryoB;83.5;20.21;137.23;18.43;7
EmbryoC;80.62;23.97;129.95;15.23;9
EmbryoD;83.25;15.36;151.04;14.37;9
EmbryoE;87;13.03;175.36;20.97;9
EmbryoF;69;16.43;134.88;22.12;6
EmbryoG;59;23.52;132.67;14.21;7
EmbryoH;75;9.86;130.08;13.38;7
EmbryoI;74.4;17.42;134.33;13.31;6
EmbryoJ1;79.88;10.01;130.17;14.84;9
EmbryoJ2;83.5;12.79;151.15;28.62;7
EmbryoK1;81.86;29.28;127.26;14.33;8
EmbryoK2;91.8;19.63;176.45;59.71;6
EmbryoL;85;7.51;160.55;31.98;7
EmbryoM;89.5;8.36;134.7;8.95;7
